"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7946","メールアドレスが空のままログインするとエラーが表示される","ホテルサイト ログイン","2026-05-15","passed","2026-05-15","","","",""
"","9618","パスワードが空のままログインするとエラーが表示される","ホテルサイト ログイン","2026-05-15","passed","2026-05-15","","","",""
"","15600","正しい認証情報でログインするとマイページに遷移する","ホテルサイト ログイン","2026-05-15","passed","2026-05-15","","","",""
"","4577","plan-id=2 ディナー付きプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4331","plan-id=8 カップル限定プラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4265","plan-id=1 プレミアムプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4482","plan-id=5 出張ビジネスプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4078","plan-id=9 テーマパーク優待プラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4260","plan-id=6 エステ・マッサージプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4252","plan-id=7 貸し切り露天風呂プラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4418","plan-id=3 お得なプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4098","plan-id=4 素泊まり","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","4808","plan-id=0 お得な特典付きプラン","宿泊予約 プラン遷移確認","2026-05-15","passed","2026-05-15","","","",""
"","24384","連絡:メールでのご連絡 / 朝食:あり / 昼IN:あり / 観光:なし / 3泊 / 3名 / 要望:なし","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","24851","連絡:メールでのご連絡 / 朝食:あり / 昼IN:なし / 観光:なし / 3泊 / 1名 / 要望:あり","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","22080","連絡:希望しない / 朝食:なし / 昼IN:なし / 観光:なし / 1泊 / 1名 / 要望:なし","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","22517","連絡:希望しない / 朝食:なし / 昼IN:あり / 観光:あり / 3泊 / 1名 / 要望:なし","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","26714","連絡:電話でのご連絡 / 朝食:あり / 昼IN:あり / 観光:なし / 1泊 / 1名 / 要望:あり","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","24396","連絡:電話でのご連絡 / 朝食:なし / 昼IN:なし / 観光:あり / 3泊 / 3名 / 要望:なし","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","25030","連絡:希望しない / 朝食:あり / 昼IN:あり / 観光:あり / 3泊 / 3名 / 要望:あり","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","24377","連絡:メールでのご連絡 / 朝食:なし / 昼IN:あり / 観光:あり / 1泊 / 3名 / 要望:なし","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
"","25759","連絡:電話でのご連絡 / 朝食:なし / 昼IN:あり / 観光:あり / 1泊 / 3名 / 要望:あり","宿泊予約 プレミアムログイン","2026-05-15","passed","2026-05-15","","","",""
